block,height,length,area,eccen,pblock,psmooth,meantr,totalb,totals,trans
h_line,1,52,52,52,0.962,1,25,50,52,2
h_line,25,169,4225,6.76,0.215,0.947,1.57,907,4000,579
h_line,1,27,27,27,0.259,1,1.4,7,27,5
h_line,1,39,39,39,0.308,1,1.71,12,39,7
h_line,1,34,34,34,0.353,1,1.71,12,34,7
h_line,3,106,318,35.333,0.258,0.34,6.31,82,108,13
h_line,1,28,28,28,0.536,1,3,15,28,5
h_line,1,255,255,255,0.686,1,4.86,175,255,36
h_line,1,10,10,10,1,1,10,10,10,1
h_line,1,9,9,9,0.889,1,8,8,9,1
h_line,1,19,19,19,0.632,1,4,12,19,3
h_line,1,44,44,44,0.727,1,5.33,32,44,6
h_line,1,14,14,14,1,1,14,14,14,1
h_line,1,30,30,30,0.4,1,2.4,12,30,5
h_line,1,94,94,94,0.564,1,3.31,53,94,16
h_line,1,193,193,193,0.57,1,2.97,110,193,37
h_line,1,159,159,159,0.975,1,77.5,155,159,2
h_line,1,32,32,32,0.469,1,1.88,15,32,8
h_line,7,14,98,2,0.102,0.204,10,10,20,1
h_line,1,15,15,15,0.533,1,2,8,15,4
h_line,1,63,63,63,0.587,1,2.31,37,63,16
h_line,1,42,42,42,0.19,1,1.6,8,42,5
h_line,1,28,28,28,0.464,1,2.17,13,28,6
h_line,1,23,23,23,0.348,1,1.6,8,23,5
h_line,1,14,14,14,0.5,1,2.33,7,14,3
h_line,1,45,45,45,0.244,1,1.38,11,45,8
h_line,24,510,12240,21.25,0.846,0.927,38.65,10359,11341,268
h_line,3,541,1623,180.33,0.71,0.747,88.62,1152,1213,13
h_line,4,108,432,27,0.778,0.826,56,336,357,6
h_line,1,20,20,20,0.75,1,3,15,20,5
h_line,11,252,2772,22.909,0.092,0.095,63.75,255,262,4
h_line,1,63,63,63,0.952,1,20,60,63,3
h_line,1,76,76,76,0.961,1,36.5,73,76,2
h_line,1,102,102,102,0.961,1,24.5,98,102,4
h_line,5,128,640,25.6,0.759,0.764,162,486,489,3
h_line,5,280,1400,56,0.78,0.786,156,1092,1100,7
h_line,11,427,4697,38.818,0.566,0.57,189.79,2657,2676,14
h_line,5,110,550,22,0.547,0.556,100.33,301,306,3
h_line,11,552,6072,50.182,0.816,0.816,4955,4955,4955,1
h_line,1,283,283,283,0.993,1,140.5,281,283,2
h_line,1,184,184,184,0.967,1,44.5,178,184,4
h_line,1,16,16,16,0.938,1,15,15,16,1
h_line,3,550,1650,183.33,0.329,0.375,27.15,543,619,20
h_line,1,235,235,235,0.923,1,27.13,217,235,8
h_line,1,58,58,58,0.845,1,9.8,49,58,5
h_line,1,12,12,12,0.667,1,4,8,12,2
h_line,1,69,69,69,0.667,1,4.18,46,69,11
h_line,1,107,107,107,0.869,1,18.6,93,107,5
h_line,3,550,1650,183.33,0.339,0.401,15.11,559,662,37
h_line,3,463,1389,154.33,0.296,0.382,13.7,411,531,30
h_line,1,85,85,85,0.882,1,12.5,75,85,6
h_line,1,8,8,8,1,1,8,8,8,1
h_line,3,544,1632,181.33,0.326,0.406,16.12,532,662,33
h_line,1,17,17,17,1,1,17,17,17,1
h_line,1,206,206,206,0.99,1,204,204,206,1
h_line,2,325,650,162.5,0.485,0.537,28.64,315,349,11
h_line,1,8,8,8,1,1,8,8,8,1
h_line,1,17,17,17,1,1,17,17,17,1
h_line,1,277,277,277,0.993,1,137.5,275,277,2
h_line,1,199,199,199,0.945,1,37.6,188,199,5
h_line,10,553,5530,55.3,0.797,0.884,21.3,4409,4890,207
h_line,3,259,777,86.333,0.96,0.978,67.82,746,760,11
h_line,1,34,34,34,0.471,1,1.07,16,34,15
h_line,2,100,200,50,0.46,0.505,11.5,92,101,8
h_line,2,52,104,26,0.231,0.529,1.5,24,55,16
h_line,1,161,161,161,0.41,1,1.02,66,161,65
h_line,1,71,71,71,0.521,1,2.31,37,71,16
h_line,1,20,20,20,0.55,1,1.38,11,20,8
h_line,1,172,172,172,0.465,1,1.04,80,172,77
h_line,1,106,106,106,0.434,1,1.02,46,106,45
h_line,1,288,288,288,0.424,1,1.02,122,288,120
h_line,1,8,8,8,1,1,8,8,8,1
h_line,1,95,95,95,1,1,95,95,95,1
h_line,1,67,67,67,0.985,1,66,66,67,1
h_line,1,10,10,10,1,1,10,10,10,1
h_line,17,341,5797,20.059,0.935,0.998,36.38,5420,5784,149
h_line,1,138,138,138,1,1,138,138,138,1
h_line,17,342,5814,20.118,0.916,0.996,30.27,5328,5790,176
h_line,1,126,126,126,0.992,1,125,125,126,1
h_line,18,342,6156,19,0.847,0.897,43.48,5217,5522,120
h_line,2,25,50,12.5,0.36,1,4.5,18,50,4
h_line,2,24,48,12,0.354,1,3.4,17,48,5
h_line,2,21,42,10.5,0.452,1,6.33,19,42,3
h_line,2,22,44,11,0.477,1,21,21,44,1
h_line,1,196,196,196,0.98,1,64,192,196,3
h_line,2,199,398,99.5,0.485,0.508,32.17,193,202,6
h_line,1,159,159,159,0.994,1,158,158,159,1
h_line,1,199,199,199,0.99,1,197,197,199,1
h_line,8,231,1848,28.875,0.872,0.882,179,1611,1630,9
h_line,1,70,70,70,1,1,70,70,70,1
h_line,1,14,14,14,1,1,14,14,14,1
h_line,1,70,70,70,0.943,1,22,66,70,3
h_line,1,9,9,9,1,1,9,9,9,1
h_line,1,131,131,131,0.977,1,64,128,131,2
h_line,2,62,124,31,0.452,0.565,11.2,56,70,5
h_line,1,20,20,20,0.85,1,8.5,17,20,2
h_line,1,87,87,87,0.92,1,16,80,87,5
graphic,28,31,868,1.107,0.492,0.745,7.49,427,647,57
graphic,28,32,896,1.143,0.481,0.742,7.43,431,665,58
graphic,29,31,899,1.069,0.463,0.726,6.93,416,653,60
graphic,28,32,896,1.143,0.488,0.743,7.05,437,666,62
graphic,28,32,896,1.143,0.462,0.722,7.02,414,647,59
graphic,28,31,868,1.107,0.508,0.767,7.47,441,666,59
graphic,29,32,928,1.103,0.476,0.72,7.25,442,668,61
graphic,29,32,928,1.103,0.432,0.689,6.27,401,639,64
graphic,153,158,24174,1.033,0.587,0.641,46.95,14180,15491,302
graphic,83,149,12367,1.795,0.388,0.472,28.77,4804,5838,167
graphic,95,93,8835,0.979,0.675,0.902,3.63,5966,7968,1644
graphic,93,104,9672,1.118,0.451,0.611,4.25,4366,5908,1028
graphic,168,145,24360,0.863,0.798,0.963,13.06,19430,23457,1488
graphic,187,137,25619,0.733,0.899,0.991,29.29,23025,25400,786
graphic,132,547,72204,4.144,0.37,0.483,20.66,26693,34874,1292
graphic,178,140,24920,0.787,0.574,0.649,21.52,14292,16177,664
graphic,128,347,44416,2.711,0.399,0.567,13.07,17721,25163,1356
graphic,168,135,22680,0.804,0.82,0.904,62.81,18591,20513,296
graphic,166,472,78352,2.843,0.359,0.547,17.12,28093,42821,1641
graphic,174,471,81954,2.707,0.339,0.433,15.84,27820,35499,1756
graphic,72,96,6912,1.333,0.488,0.582,15.69,3374,4025,215
graphic,163,161,26243,0.988,0.523,0.897,8.4,13725,23547,1634
graphic,186,469,87234,2.522,0.378,0.529,22.29,33017,46133,1481
graphic,187,141,26367,0.754,0.415,0.884,4.69,10947,23301,2333
graphic,64,73,4672,1.141,0.403,0.445,72.38,1882,2077,26
graphic,63,66,4158,1.048,0.491,0.591,44.37,2041,2458,46
graphic,65,50,3250,0.769,0.454,0.487,245.83,1475,1582,6
graphic,63,79,4977,1.254,0.338,0.345,186.78,1681,1718,9
v_line,98,3,294,0.031,0.48,0.486,141,141,143,1
v_line,19,2,38,0.105,0.816,0.816,31,31,31,1
v_line,5,2,10,0.4,0.8,0.8,8,8,8,1
v_line,94,2,188,0.021,0.516,0.516,97,97,97,1
v_line,4,2,8,0.5,0.875,0.875,7,7,7,1
v_line,66,3,198,0.045,0.657,0.909,2.6,130,180,50
v_line,93,4,372,0.043,0.419,0.565,2.89,156,210,54
v_line,44,3,132,0.068,0.598,0.841,2.47,79,111,32
v_line,42,7,294,0.167,0.282,0.432,2.18,83,127,38
v_line,17,2,34,0.118,0.706,0.706,24,24,24,1
v_line,76,1,76,0.013,1,1,76,76,76,1
v_line,69,3,207,0.043,0.643,0.952,2.08,133,197,64
v_line,12,2,24,0.167,0.625,0.667,15,15,16,1
v_line,261,30,7830,0.115,0.063,0.09,2.4,492,701,205
v_line,9,1,9,0.111,1,1,9,9,9,1
v_line,26,1,26,0.038,1,1,26,26,26,1
v_line,13,1,13,0.077,1,1,13,13,13,1
v_line,17,1,17,0.059,1,1,17,17,17,1
v_line,11,1,11,0.091,1,1,11,11,11,1
v_line,13,1,13,0.077,1,1,13,13,13,1
v_line,14,1,14,0.071,1,1,14,14,14,1
v_line,23,1,23,0.043,1,1,23,23,23,1
v_line,13,1,13,0.077,1,1,13,13,13,1
v_line,15,1,15,0.067,1,1,15,15,15,1
v_line,7,1,7,0.143,1,1,7,7,7,1
v_line,10,1,10,0.1,1,1,10,10,10,1
v_line,804,11,8844,0.014,0.191,0.233,15.64,1689,2058,108
v_line,8,1,8,0.125,0.875,1,7,7,8,1
v_line,27,4,108,0.148,0.333,0.667,2.57,36,72,14
v_line,27,4,108,0.148,0.38,0.75,2.56,41,81,16
v_line,8,1,8,0.125,1,1,8,8,8,1
v_line,9,1,9,0.111,1,1,9,9,9,1
v_line,9,2,18,0.222,0.611,0.722,11,11,13,1
v_line,54,1,54,0.019,1,1,54,54,54,1
v_line,39,1,39,0.026,1,1,39,39,39,1
v_line,38,1,38,0.026,1,1,38,38,38,1
v_line,1,25,25,25,1,1,25,25,25,1
v_line,58,3,174,0.052,0.339,0.345,59,59,60,1
v_line,53,1,53,0.019,1,1,53,53,53,1
v_line,54,1,54,0.019,1,1,54,54,54,1
v_line,42,1,42,0.024,1,1,42,42,42,1
v_line,34,1,34,0.029,1,1,34,34,34,1
v_line,31,1,31,0.032,1,1,31,31,31,1
v_line,22,1,22,0.045,1,1,22,22,22,1
v_line,7,1,7,0.143,1,1,7,7,7,1
v_line,14,1,14,0.071,1,1,14,14,14,1
v_line,11,1,11,0.091,1,1,11,11,11,1
v_line,9,1,9,0.111,1,1,9,9,9,1
v_line,20,1,20,0.05,1,1,20,20,20,1
v_line,25,1,25,0.04,1,1,25,25,25,1
v_line,10,1,10,0.1,1,1,10,10,10,1
v_line,18,1,18,0.056,1,1,18,18,18,1
v_line,8,1,8,0.125,1,1,8,8,8,1
v_line,27,1,27,0.037,1,1,27,27,27,1
v_line,31,1,31,0.032,1,1,31,31,31,1
v_line,8,1,8,0.125,1,1,8,8,8,1
v_line,12,1,12,0.083,1,1,12,12,12,1
v_line,12,1,12,0.083,1,1,12,12,12,1
v_line,9,1,9,0.111,1,1,9,9,9,1
v_line,9,1,9,0.111,1,1,9,9,9,1
v_line,13,1,13,0.077,1,1,13,13,13,1
v_line,47,1,47,0.021,1,1,47,47,47,1
v_line,16,1,16,0.063,1,1,16,16,16,1
v_line,5,2,10,0.4,0.9,0.9,9,9,9,1
v_line,14,2,28,0.143,0.536,0.536,15,15,15,1
v_line,11,2,22,0.182,0.636,0.636,14,14,14,1
v_line,4,2,8,0.5,1,1,8,8,8,1
v_line,9,1,9,0.111,1,1,9,9,9,1
v_line,6,21,126,3.5,0.198,0.444,1.67,25,56,15
v_line,84,1,84,0.012,1,1,84,84,84,1
v_line,117,1,117,0.009,1,1,117,117,117,1
v_line,136,1,136,0.007,0.993,1,135,135,136,1
v_line,37,1,37,0.027,1,1,37,37,37,1
v_line,32,1,32,0.031,1,1,32,32,32,1
v_line,430,5,2150,0.012,0.216,0.221,46.5,465,475,10
v_line,10,1,10,0.1,0.9,1,9,9,10,1
v_line,8,1,8,0.125,1,1,8,8,8,1
v_line,7,2,14,0.286,0.643,0.714,9,9,10,1
v_line,105,2,210,0.019,0.529,0.533,111,111,112,1
v_line,5,2,10,0.4,0.7,0.7,7,7,7,1
v_line,9,1,9,0.111,1,1,9,9,9,1
v_line,7,1,7,0.143,1,1,7,7,7,1
v_line,10,1,10,0.1,1,1,10,10,10,1
v_line,8,1,8,0.125,1,1,8,8,8,1
v_line,7,1,7,0.143,1,1,7,7,7,1
v_line,7,1,7,0.143,1,1,7,7,7,1
v_line,9,1,9,0.111,1,1,9,9,9,1
picture,48,402,19296,8.375,0.055,0.094,4.13,1058,1814,256
picture,304,463,140752,1.523,0.063,0.121,3.91,8898,17081,2273
picture,306,465,142290,1.52,0.055,0.123,2.69,7861,17452,2925
picture,45,79,3555,1.756,0.087,0.195,4.81,308,693,64
picture,311,463,143993,1.489,0.088,0.16,3.93,12631,23092,3212
picture,12,146,1752,12.167,0.091,0.128,26.67,160,225,6
picture,212,464,98368,2.189,0.052,0.07,11.84,5066,6884,428
picture,8,16,128,2,0.156,0.859,5,20,110,4
picture,9,10,90,1.111,0.144,0.522,6.5,13,47,2
picture,52,461,23972,8.865,0.192,0.248,11.52,4607,5938,400
picture,38,70,2660,1.842,0.059,0.062,19.63,157,165,8
picture,36,172,6192,4.778,0.128,0.337,4.84,793,2086,164
picture,7,9,63,1.286,0.143,0.238,9,9,15,1
picture,37,72,2664,1.946,0.12,0.257,7.64,321,685,42
picture,49,79,3871,1.612,0.084,0.179,7.36,324,694,44
picture,39,70,2730,1.795,0.09,0.255,7,245,697,35
picture,31,71,2201,2.29,0.159,0.296,10.29,350,651,34
picture,153,442,67626,2.889,0.114,0.215,6.27,7689,14538,1227
picture,47,286,13442,6.085,0.183,0.317,4.67,2459,4258,526
picture,36,96,3456,2.667,0.096,0.207,7.7,331,717,43
picture,43,62,2666,1.442,0.08,0.17,6.63,212,454,32
picture,33,28,924,0.848,0.098,0.271,5.69,91,250,16
picture,17,60,1020,3.529,0.139,0.371,7.1,142,378,20
picture,5,7,35,1.4,0.229,0.6,2.67,8,21,3
picture,9,17,153,1.889,0.144,0.458,3.14,22,70,7
picture,4,8,32,2,0.344,0.531,5.5,11,17,2
picture,85,69,5865,0.812,0.165,0.441,1.44,969,2588,674
picture,13,13,169,1,0.124,0.45,3.5,21,76,6
picture,14,19,266,1.357,0.128,0.541,2.83,34,144,12
picture,14,19,266,1.357,0.113,0.504,30,30,134,1
picture,15,14,210,0.933,0.11,0.338,1.92,23,71,12
picture,7,24,168,3.429,0.101,0.298,1.89,17,50,9
picture,5,12,60,2.4,0.133,0.267,4,8,16,2
picture,8,5,40,0.625,0.275,0.45,3.67,11,18,3
picture,4,5,20,1.25,0.35,0.8,2.33,7,16,3
picture,7,15,105,2.143,0.114,0.295,2.4,12,31,5
picture,7,13,91,1.857,0.154,0.484,2,14,44,7
picture,4,7,28,1.75,0.286,1,2,8,28,4
picture,4,5,20,1.25,0.35,0.8,2.33,7,16,3
picture,5,3,15,0.6,0.467,0.6,3.5,7,9,2
picture,5,9,45,1.8,0.178,0.533,1.6,8,24,5
picture,100,49,4900,0.49,0.093,0.4,1.77,458,1958,259
picture,16,30,480,1.875,0.133,0.471,2.29,64,226,28
picture,10,7,70,0.7,0.157,0.6,1.57,11,42,7
picture,6,5,30,0.833,0.233,0.633,1.75,7,19,4
picture,6,12,72,2,0.139,0.514,1.43,10,37,7
picture,81,49,3969,0.605,0.113,0.398,2.26,449,1580,199
picture,6,6,36,1,0.194,0.417,3.5,7,15,2
picture,6,9,54,1.5,0.148,0.296,4,8,16,2
picture,21,68,1428,3.238,0.052,0.109,5.69,74,156,13
picture,7,47,329,6.714,0.158,0.289,5.78,52,95,9
picture,13,8,104,0.615,0.154,0.769,1.07,16,80,15
picture,8,1,8,0.125,0.875,1,7,7,8,1
picture,8,9,72,1.125,0.125,0.319,4.5,9,23,2
picture,9,6,54,0.667,0.407,0.519,5.5,22,28,4
picture,10,12,120,1.2,0.208,0.583,1.67,25,70,15
picture,24,18,432,0.75,0.139,0.377,2.07,60,163,29
picture,14,17,238,1.214,0.113,0.387,1.8,27,92,15
picture,22,22,484,1,0.107,0.473,1.79,52,229,29
picture,16,4,64,0.25,0.156,0.531,5,10,34,2
picture,16,21,336,1.313,0.095,0.515,1.6,32,173,20
picture,13,5,65,0.385,0.123,0.538,8,8,35,1
picture,7,11,77,1.571,0.117,0.494,1.8,9,38,5
picture,36,48,1728,1.333,0.143,0.437,3.58,247,755,69
picture,55,48,2640,0.873,0.142,0.364,4.26,375,960,88
picture,53,48,2544,0.906,0.181,0.374,4.69,460,951,98
picture,29,48,1392,1.655,0.116,0.268,5.06,162,373,32
picture,21,4,84,0.19,0.31,0.643,3.71,26,54,7
picture,19,47,893,2.474,0.078,0.112,3.89,70,100,18
picture,13,5,65,0.385,0.323,0.554,5.25,21,36,4
picture,25,9,225,0.36,0.187,0.436,2.47,42,98,17
picture,8,4,32,0.5,0.438,0.594,7,14,19,2
picture,17,9,153,0.529,0.209,0.497,1.88,32,76,17
picture,5,4,20,0.8,0.45,0.65,4.5,9,13,2
picture,9,4,36,0.444,0.25,0.75,9,9,27,1
picture,12,4,48,0.333,0.292,1,2,14,48,7
picture,6,5,30,0.833,0.367,1,2.2,11,30,5
picture,6,13,78,2.167,0.103,0.449,4,8,35,2
picture,4,11,44,2.75,0.159,0.932,1.75,7,41,4
picture,54,48,2592,0.889,0.143,0.264,6.85,370,685,54
picture,53,48,2544,0.906,0.157,0.269,7.84,400,685,51
picture,52,48,2496,0.923,0.138,0.248,7.67,345,619,45
picture,68,34,2312,0.5,0.224,0.526,2.44,519,1215,213
picture,67,30,2010,0.448,0.169,0.46,2.26,339,924,150
picture,20,39,780,1.95,0.14,0.405,3.21,109,316,34
picture,6,17,102,2.833,0.137,0.627,2.8,14,64,5
picture,37,20,740,0.541,0.131,0.193,4.22,97,143,23
picture,34,25,850,0.735,0.256,0.534,2.06,218,454,106
picture,34,27,918,0.794,0.219,0.554,3.09,201,509,65
picture,36,43,1548,1.194,0.117,0.183,3.07,181,283,59
picture,16,29,464,1.813,0.144,0.496,2.58,67,230,26
picture,86,67,5762,0.779,0.164,0.935,2.37,947,5386,399
picture,101,99,9999,0.98,0.14,0.778,2.02,1398,7780,691
picture,30,60,1800,2,0.154,0.457,1.85,278,823,150
picture,32,106,3392,3.313,0.198,0.395,4.56,671,1341,147
picture,32,350,11200,10.938,0.142,0.402,3.96,1588,4497,401
picture,31,105,3255,3.387,0.242,0.456,4.89,787,1485,161
picture,31,105,3255,3.387,0.224,0.417,5.35,728,1358,136
picture,31,37,1147,1.194,0.189,0.555,2.07,217,637,105
picture,28,61,1708,2.179,0.172,0.509,1.97,294,870,149
picture,30,61,1830,2.033,0.157,0.483,1.88,288,884,153
picture,29,61,1769,2.103,0.121,0.431,1.78,214,762,120
picture,83,277,22991,3.337,0.18,0.365,6.86,4138,8387,603
picture,83,314,26062,3.783,0.298,0.671,8.75,7772,17482,888
picture,54,357,19278,6.611,0.299,0.655,6.4,5766,12626,901
picture,54,357,19278,6.611,0.324,0.644,6.22,6238,12422,1003
picture,83,315,26145,3.795,0.295,0.594,9.21,7725,15523,839
picture,83,326,27058,3.928,0.286,0.671,7.55,7741,18149,1025
picture,83,314,26062,3.783,0.282,0.619,8.77,7353,16139,838
picture,197,198,39006,1.005,0.273,0.332,46.93,10654,12964,227
picture,160,286,45760,1.788,0.201,0.226,55.42,9199,10347,166
picture,91,285,25935,3.132,0.158,0.165,113.89,4100,4287,36
picture,118,105,12390,0.89,0.052,0.105,3.33,642,1296,193
picture,158,167,26386,1.057,0.16,0.276,8.24,4213,7279,511
picture,11,48,528,4.364,0.237,0.39,7.35,125,206,17
picture,83,326,27058,3.928,0.286,0.671,7.55,7741,18149,1025
picture,83,314,26062,3.783,0.282,0.619,8.77,7353,16139,838
picture,197,198,39006,1.005,0.273,0.332,46.93,10654,12964,227
picture,160,286,45760,1.788,0.201,0.226,55.42,9199,10347,166
picture,91,285,25935,3.132,0.158,0.165,113.89,4100,4287,36
picture,118,105,12390,0.89,0.052,0.105,3.33,642,1296,193
